esperado,predito,json_valido,resposta_bruta
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,negativo,True,"{""sentimento"":""negativo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
neutro,positivo,True,"{""sentimento"":""positivo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
neutro,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
positivo,negativo,True,"{""sentimento"":""negativo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,positivo,True,"{""sentimento"":""positivo""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,positivo,True,"{""sentimento"":""positivo""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
positivo,neutro,True,"{""sentimento"":""neutro""}"
neutro,negativo,True,"{""sentimento"":""negativo""}"
positivo,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
neutro,positivo,True,"{""sentimento"":""positivo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
positivo,positivo,True,"{""sentimento"":""positivo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
neutro,negativo,True,"{""sentimento"":""negativo""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
neutro,neutro,True,"{""sentimento"":""neutro""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
negativo,negativo,True,"{""sentimento"":""negativo""}"
negativo,neutro,True,"{""sentimento"":""neutro""}"
